"Completion rate 2012–2018, Upper secondary education, male","Completion rate 2012–2018, Upper secondary education, female",Malnutrition among preschool-aged children (0–4 years of age) 2013–2018*: Stunted (%) (moderate and severe): all children,Total fertility  (live births per woman) 2018
32,14,41,4.5
43,60,11,1.6
30,47,12,3
,−,–,
21,15,38,5.5
,−,–,
,−,–,2
53,66,8,2.3
91,96,9,1.8
,−,2,1.8
,−,–,1.5
,−,18,2.1
,−,–,1.8
,−,–,2
31,26,36,2
91,97,8,1.6
96,98,4,1.7
,−,–,1.7
20,25,15,2.3
12,5,32,4.8
25,18,34,2
,−,16,2.7
92,92,9,1.3
,−,31,2.9
53,64,7,1.7
,−,–,
,−,20,1.8
,−,9,1.6
6,2,21,5.2
4,3,56,5.4
,−,–,2.3
20,20,32,2.5
18,14,32,4.6
,−,–,1.5
8,6,40,4.7
15,6,40,5.7
,−,2,1.6
64,67,8,1.7
69,78,13,1.8
24,32,31,4.2
28,19,21,4.4
,−,–,
38,56,6,1.8
17,15,22,4.6
,−,–,1.4
81,86,7,1.6
,−,–,1.3
,−,3,1.6
100,100,19,1.9
30,21,43,5.9
,−,–,1.8
,−,34,2.7
,−,–,
48,66,7,2.3
,−,24,2.4
71,69,22,3.3
34,36,14,2
,−,26,4.5
,−,52,4.1
,−,–,1.6
31,33,26,3
13,13,38,4.2
,−,8,2.8
,−,–,1.5
,−,–,1.9
11,11,17,4
31,29,25,5.2
,−,11,2.1
,−,1,1.6
42,35,19,3.9
,−,–,1.3
,−,–,2.1
27,25,47,2.9
29,15,32,4.7
11,8,28,4.5
49,64,11,2.5
17,16,22,2.9
,−,–,
27,33,23,2.5
,−,–,1.5
,−,–,1.8
46,40,38,2.2
40,37,36,2.3
,−,7,2.1
45,43,22,3.7
,−,–,1.8
,−,–,3
,−,–,1.3
80,83,6,2
,−,7,1.4
49,63,8,2.8
95,96,8,2.7
44,38,26,3.5
,−,–,3.6
,−,5,2.1
82,85,13,3
33,31,44,2.7
,−,–,1.7
,−,17,2.1
20,27,33,3.1
18,9,32,4.3
,−,21,2.2
,−,–,
,−,–,1.7
,−,–,1.4
,−,49,4.1
15,13,37,4.2
,−,21,2
,−,19,1.9
23,12,30,5.9
,−,–,1.5
,−,35,
14,15,28,4.6
,−,–,1.4
25,22,10,2.1
,−,–,3.1
,−,–,
64,78,7,2.9
84,87,9,1.7
,−,–,
,−,15,2.4
8,4,43,4.9
13,18,29,2.2
33,39,23,3.4
,−,24,
52,39,36,1.9
,−,–,1.7
,−,–,1.9
,−,17,2.4
4,1,41,6.9
70,59,44,5.4
,−,–,
80,69,5,1.5
,−,–,1.7
,−,14,2.9
43,38,38,3.5
,−,–,
57,68,19,2.5
,−,49,3.6
0,0,6,2.4
78,72,13,2.3
54,66,33,2.6
,−,3,1.4
,−,–,1.3
,−,–,1.9
,−,3,1.1
63,74,6,1.3
,−,13,1.6
,−,–,1.8
19,16,37,4
,−,–,
70,90,2,1.4
,−,–,1.9
,−,5,3.9
,−,–,
12,12,17,4.3
,−,9,2.3
14,10,17,4.6
71,81,6,1.5
,−,8,2.4
27,18,38,4.3
,−,4,1.2
,−,–,1.5
,−,–,1.6
,−,32,4.4
,−,25,6.1
45,52,27,2.4
13,4,31,4.7
,−,–,1.3
,−,17,2.2
52,73,7,3.6
34,29,38,4.4
19,28,9,2.4
,−,–,1.9
,−,–,1.5
,−,28,2.8
80,63,18,3.6
50,62,11,1.5
49,55,51,4
20,10,28,4.3
,−,–,
,−,8,3.6
,−,9,1.7
40,57,10,2.2
58,48,10,2.1
83,80,11,2.8
,−,–,
,−,10,
16,14,29,5
97,97,23,1.4
,−,–,1.4
,−,–,1.8
32,27,34,4.9
,−,4,1.8
45,28,11,2
,−,20,2.4
,−,29,3.8
,−,13,2.3
50,61,25,2
37,23,46,3.8
34,23,40,4.6
15,11,27,3.6
