Countries and areas,Life expectancy at birth (years): 218,Infant and Young Child Breastfeeding (%) Feeding ,"Completion rate 212–218, Upper secondary education, male&female"
Afghanistan,64,63,46
Albania,78,57,13
Algeria,77,36,77
Andorra,,,
Angola,61,48,36
Anguilla,,,
Antigua and Barbuda,77,,
Argentina,77,53,119
Armenia,75,41,187
Australia,83,,
Austria,81,,
Azerbaijan,73,2,
Bahamas,74,,
Bahrain,77,,
Bangladesh,72,51,57
Barbados,79,4,188
Belarus,75,53,194
Belgium,81,,
Belize,74,68,45
Benin,61,54,17
Bhutan,71,78,43
Bolivia (Plurinational State of),71,55,
Bosnia and Herzegovina,77,42,184
Botswana,69,53,
Brazil,76,43,117
British Virgin Islands,,,
Brunei Darussalam,76,,
Bulgaria,75,,
Burkina Faso,61,56,8
Burundi,61,85,7
Cabo Verde,73,73,
Cambodia,7,63,4
Cameroon,59,31,32
Canada,82,,
Central African Republic,53,53,14
Chad,54,23,21
Chile,8,,
China,77,29,131
Colombia,77,72,147
Comoros,64,34,56
Congo,64,25,47
Cook Islands,,,
Costa Rica,8,6,94
Côte d'Ivoire,57,37,32
Croatia,78,,
Cuba,79,48,167
Cyprus,81,,
Czechia,79,,
Democratic People's Republic of Korea,72,43,2
Democratic Republic of the Congo,6,52,51
Denmark,81,,
Djibouti,67,52,
Dominica,,,
Dominican Republic,74,38,114
Ecuador,77,55,
Egypt,72,27,14
El Salvador,73,42,7
Equatorial Guinea,58,,
Eritrea,66,93,
Estonia,79,,
Eswatini,59,48,64
Ethiopia,66,73,26
Fiji,67,57,
Finland,82,,
France,83,,
Gabon,66,32,22
Gambia,62,52,6
Georgia,74,69,
Germany,81,,
Ghana,64,56,77
Greece,82,,
Grenada,72,,
Guatemala,74,63,52
Guinea,61,34,44
Guinea-Bissau,58,34,19
Guyana,7,49,113
Haiti,64,47,33
Holy See,,,
Honduras,75,64,6
Hungary,77,,
Iceland,83,,
India,69,41,86
Indonesia,72,58,77
Iran (Islamic Republic of),76,69,
Iraq,7,32,88
Ireland,82,,
Israel,83,,
Italy,83,,
Jamaica,74,65,163
Japan,84,,
Jordan,74,67,112
Kazakhstan,73,83,191
Kenya,66,62,82
Kiribati,68,8,
Kuwait,75,,
Kyrgyzstan,71,81,167
Lao People's Democratic Republic,68,5,64
Latvia,75,,
Lebanon,79,41,
Lesotho,54,65,47
Liberia,64,61,27
Libya,73,,
Liechtenstein,,,
Lithuania,76,,
Luxembourg,82,,
Madagascar,67,66,
Malawi,64,76,28
Malaysia,76,,
Maldives,79,67,
Mali,59,53,35
Malta,82,,
Marshall Islands,,61,
Mauritania,65,68,29
Mauritius,75,,
Mexico,75,51,47
Micronesia (Federated States of),68,,
Monaco,,,
Mongolia,7,84,142
Montenegro,77,14,171
Montserrat,,,
Morocco,76,43,
Mozambique,6,69,12
Myanmar,67,67,31
Namibia,63,71,72
Nauru,,76,
Nepal,7,55,91
Netherlands,82,,
New Zealand,82,,
Nicaragua,74,54,
Niger,62,53,5
Nigeria,54,33,129
Niue,,,
North Macedonia,76,21,149
Norway,82,,
Oman,78,82,
Pakistan,67,2,81
Palau,,,
Panama,78,47,125
Papua New Guinea,64,,
Paraguay,74,5,
Peru,77,5,15
Philippines,71,57,12
Poland,79,,
Portugal,82,,
Qatar,8,34,
Republic of Korea,83,,
Republic of Moldova,72,61,137
Romania,76,58,
Russian Federation,72,25,
Rwanda,69,8,35
Saint Kitts and Nevis,,,
Saint Lucia,76,54,16
Saint Vincent and the Grenadines,72,,
Samoa,73,81,
San Marino,,,
Sao Tome and Principe,7,38,24
Saudi Arabia,75,,
Senegal,68,34,24
Serbia,76,51,152
Seychelles,73,,
Sierra Leone,54,56,45
Singapore,83,,
Slovakia,77,,
Slovenia,81,,
Solomon Islands,73,79,
Somalia,57,23,
South Africa,64,67,97
South Sudan,58,5,17
Spain,83,,
Sri Lanka,77,9,
State of Palestine,74,41,125
Sudan,65,69,63
Suriname,72,45,47
Sweden,83,,
Switzerland,84,,
Syrian Arab Republic,72,46,
Tajikistan,71,62,143
Thailand,77,4,112
Timor-Leste,69,75,14
Togo,61,61,3
Tokelau,,,
Tonga,71,79,
Trinidad and Tobago,73,46,
Tunisia,77,32,97
Turkey,77,5,16
Turkmenistan,68,73,163
Turks and Caicos Islands,,,
Tuvalu,,15,
Uganda,63,66,3
Ukraine,72,66,194
United Arab Emirates,78,,
United Kingdom,81,,
United Republic of Tanzania,65,51,59
United States,79,,
Uruguay,78,77,73
Uzbekistan,72,67,
Vanuatu,7,85,
Venezuela (Bolivarian Republic of),72,,
Viet Nam,75,26,111
Yemen,66,53,6
Zambia,64,66,57
Zimbabwe,61,58,26
